Specific Aim 1: Compare spontaneuos withdrawal from WIN in male and female rats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experimenter:,,Abigail Brewer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug administration:,,D1- 0.2 mg/kg WIN or DMSO + Saline PM and AM,,,,,Red label denotes brain collected and stored in the -80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIN FEMALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weight:,D1,,D2,,D3,,D4,,D5,,Body Temp,,,Body weight,,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total beam breaks,,Body Temp,,Body weight,,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Total beam breaks,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,Resting time,,before session,after session,before session,After W/D,,WDS,Tremors,Writhes,Retropulsion,Hind Leg Scratch,Yawn,Facial rubs,Head/face twitch,Arched Back posture,Ptosis,PE,Genital Licks,sniffing,Teeth Chatter,GLOBAL SCORE,,Ambulatory time,Ambulatory counts,Ambulatory distance,Ambulatory episodes,ambulatory speeds,Stereotypic time,Stereotypic counts,Jump time,Jump Counts,Resting time,,D1,,D2,,D3,,D4,,D5,W/D,,,,
ID:,Start date,,PM,AM,PM,AM,PM,AM,PM,AM,PM,,after final WIN,before session,after session,before session,After W/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,before session,after session,before session,After W/D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PM,AM,PM,AM,PM,AM,PM,AM,PM,10 hr (AM),24  hr (PM),48 hr,72 hr,96 hr
ALB67,8/18/21,,244,245,243,243,241,245,249,248,248,,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,37.7,245,241,,1,10,1,2,0,0,0,0,1,0,0,0,2,2,15,,8.6,144,763.7,8,73.7,228.5,2723,0,0,1562.9,2867,,36.4,37.3,242,239,,0,5,4,0,0.5,0,0,0.5,0,0,0,0,0,0,10,,4.6,92,605.6,5,122,189.9,2067,0,0,1605.5,,,36.4,37.3,244,244,,0,11,5,0,0,0,0,0,0,0,0,2,0,0,16,,15.8,284,1200.13,19,58.2,274.9,3287,0,0,1509.3,,,36.2,37.7,248,245,,0,4,0,0,2,0,0,0,0,0,0,2,0.5,0,6,,15,215,1057.3,19,62.4,215.8,2550,0,0,1569.3,,,36.1,37.4,254,248,,2,3,3,0,1,0,0,0,0,0,0,2,1,1,9,,14.3,215,1143.7,21,75.02,282.1,3207,0,0,1503.6,,,M,D/P,E,E,D,D,P,P,D,M,D,D,D
ALB68,8/18/21,,237,238,243,245,238,237,233,236,236,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8,37.2,236,234,,2,1,0,2,2,0,0,1,1,0,0,0,0,2,9,,4.9,73,639.9,2,88,186.9,1998,0,0,1608.2,2071,,36.5,37,234,234,,5,1.5,0,0.5,9,0,0,1.5,0,0,0,2.5,0,0.5,17.5,,15.95,204,1208.5,17,41.4,280.3,3132,0,0,1503.8,,,36.6,36.6,235,233,,7,2,2,0,4,0,0,0,0,0,0,0,0,0,15,,7.1,112,616.8,9,44.7,193.5,2096,0,0,1599.4,,,36.6,37.3,240,240,,11.5,2,0,0,13,0,0,0,0,0,0,4,1,0.5,26.5,,3.7,63,383.4,2,26.2,160.4,1701,0,0,1636,,,36,37.1,239,235,,7,2,0,0,7,0,0,0,0,0,0,1,0,1,16,,4.8,60,541.2,1,25.4,168.8,1802,0,0,1626.5,,,D,D,D,D,D,D,D,M,E,M,D,D,D
ALB75,8/26/21,,226,223,215,224,220,220,222,224,220,,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,37.1,218,217,,1,3,1,4,0,0,0,1,2,0,0,2,0,1,12,,28.6,587,1764.1,48,78.9,204.3,2597,0,0,1567.2,3184,,37.2,37.7,215,214,,4.5,0.5,2.5,0,3,1.5,0,0,0,0,0,3,0,0.5,12,,20.8,417,1137.6,29,58.6,190.6,2364,0,0,1588.7,,,37.2,,239,237,,1,1,1,0,1,0,0,0,0,0,0,2,0,0,4,,3.25,60,333.1,5,73,122.7,1397,0,0,1673.9,,,37,37.8,222,221,,4,2,0,1,1,2,0,0,0,0,0,1,0,1,10,,9.45,189,590.3,16,75.7,210.5,2379,0,0,1580.1,,,37.3,37.7,224,224,,1,1,0,0,3,2,0,2,0,0,1,1,0,1,9,,13.95,255,800.3,27,80.4,192,2225,0,0,1594.1,,D,D,M,E,D,D,D,E/M,D,D,P,D,D,D
ALB76,8/26/21,,234,235,235,242,238,241,238,238,235,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,236,232,,1,15,0,2,5,1,1,0,1,0,0,3,0,2,26,,13.8,223,1190.27,15,50.4,196,2247,0,0,1590.5,2470,,36.9,37.8,233,232,,2,1,1,0,8,1,0,0.5,0,0,0.5,2,0,2,13.5,,4.4,70,363.5,4,25.5,203,2183,0,0,1592.7,,,36.6,,221,222,,0,3,0,4,2,0,0,0,0,0,0,1,0,1,9,,25.1,449,1456.2,32,61.4,222.5,2665,0,0,1552.4,,,36.8,37.1,239,235,,0,2,0,0,1,7,0,0,0,0,1,4,0,0,10,,21.85,397,1159.2,38,71.7,211.8,2405,0,0,1566.4,,,36.4,37.6,238,233,,0,3,1,1,3,1,0,1,0,0,0,2,0,1,10,,19.5,289,1025.6,29,63.8,223,2604,0,0,1557.6,,M,D,P,D,D,D,D,M,D,E,M,D,M,D
ALB107,12/23/21,,230,242,236,244,238,242,234,239,228,,37.2,36.6,37.5,225,224,,3,5,2,1,5,0,0,0,0,0,6,3,0,4,16,,22.15,245,1236,25,35.9,247.8,2720,0,0,1530.1,Total time spent,,37.3,38.1,231,232,,1,9,1,1.5,3.5,0.5,1,0,1,0.5,3,1.5,0,5,18.5,,10.9,118,769.5,9,37.2,183.7,1993,0,0,1605.4,,,36.8,37.9,226,226,,0,0.5,0.5,0,7.5,0,0,0,0,0.5,2.5,2,0,0,8.5,,2.9,41,308.7,3,102.1,172.5,1864,0,0,1624.7,,,37.2,37.7,232,230,,2,3,0,1,2,2,0,0,0,2,4,2,0,1,10,,7.35,110,315.6,8,51.5,128.7,1388,0,0,1664,,,37.5,37.5,227,226,,0,1.5,1,1,9,1,0,0,0.5,0,3.5,2,0,0,14,,5.2,67,361.8,6,51.2,140,1558,0,0,1654.9,,,36.9,37.2,223,224,,0,2,0,0,0,8,1,0,0,0,6,3,0,3,11,,5,48,326.6,5,48.7,126.9,1365,0,0,1668.2,,M,D,D,D,D,P,P,M,M,D,D,P,D,D
ALB108,12/23/21,,224,228,222,224,216,223,218,225,220,,36.2,36.9,37.7,216,215,,2,1,5,4,2,1,5,0,3,0,1,4,0,2,23,,21.25,474,1421.4,45,87.1,242.6,3208,0,0,1536.2,0,,36.7,37.5,221,218,,0,0,0,2,0,0,0.5,0,3.5,4.5,6,1,0,1,6,,1.3,24,177.4,1,127,66,758,0,0,1732.7,Total time spent,,37.2,37.7,213,212,,0,3,0,0,3,2,0,0,3.5,1.5,4.5,4.5,0,4,11.5,,6.1,134,518.5,13,81.1,179.3,2163,0,0,1614.7,,,37.3,38.3,215,212,,0,2,0,1,2,8,1,0,0,0,1,0,0,4,14,,2.4,47,242.8,5,97.9,117.8,1438,0,0,1679.8,,,37.2,38,216,215,,1,1.5,0,0,37,2,0,0,0.5,2,2,3.5,0,1.5,42,,6,133,437.4,16,96.7,185,2146,0,0,1609.1,,,37.5,38.2,215,209,,1,2,2,0,32,3,2,0,0,1,1,4,0,3,42,,21.95,404,1033.4,24,50.1,186.6,2174,0,0,1591.5,,P,E,E,M,M,D,D,D/P,D/P,P,E,E,D,D/P
ALB125,2/13/22,,209,212,208,212,211,214,206,217,208,,37.1,36.5,37.5,206,206,,6,4,0,3,1,0,5,0,0,1,1,1,1,1,19,,34.7,540,1774.8,53,51.6,213.8,2621,0,0,1551.6,0,,36.4,37,213,209,,2,0,0,5,1,0,3,0,1,0,1,2,0,2,12,,22.1,296,1592.7,29,57.5,243.2,2830,0,0,1534.8,237.1,,37.2,37.5,205,205,,0,4.5,0,4,5,0.5,0,0,2,1,2,1,0,2,16,,14.7,177,822.6,21,54.8,172.7,1943,0,0,1612.7,,,36.5,37.2,210,208,,0.5,0.5,2,2.5,0,0.5,2,1,0,1,2,4,0,4,9,,16.3,249,875.1,25,47.1,157,1853,0,0,1626.8,,,36.3,37.3,213,212,,0,1,1.5,2,2.5,0,1,0.5,2,1.5,1.5,2,0,0.5,10.5,,18.3,304,1157,28,56.6,209.4,2389,0,0,1572.3,,,37.8,37.6,214,214,,0,0,0,1,2,0,0,0,2,1,6,5,0,2,5,,17.2,230,981,25,53.8,172.7,1982,0,0,1610.2,D,P,E,D,D,D,D,D,D/P,D,D,D,,,
ALB126,2/13/22,,202,205,203,209,205,208,204,206,203,,37,36.4,38.1,199,197,,6,7,0,2,0,0,4,0,2,1,2,4,2,2,21,,16.9,225,1131.2,23,57.1,284.3,3203,0,0,1498.9,0,,36.6,37.7,204,203,,7,1,0,1,3,3,2,0,2,3,4,1,0,2,19,,9.3,149,627.7,12,67.4,188.8,2109,0,0,1601.9,191.8,,36.8,37,198,197,,2.5,2.5,0,0.5,1,0,1,0.5,1,2,2,2,0.5,1.5,9,,7,95,539.3,10,84.2,150.4,1722,0,0,1642.7,,,36.6,37.4,205,204,,0.5,1.5,0,1.5,0.5,1,0,0,0.5,0,0,2,0.5,0.5,5.5,,3.9,97,357.5,9,107,186,2070,0,0,1610.2,,,36.5,37.8,208,207,,0.5,1,1,0.5,1.5,0,0.5,0.5,0.5,0,0.5,2,1,3,6,,2.25,36,239,4,115,220.9,2346,0,0,1576.9,,,37.2,37.9,208,207,,1,0,0,1,4,0,0,1,1,0,2,5,0,2,8,,15.9,277,1055.1,24,68.8,251.3,2907,0,0,1532.8,D,D,D,D,D,D/P,D/P,P,,,,,,,
ALB130,3/23/22,,230,221,219,225,220,215,220,216,219,,37.2,37,37.9,216,214,,1,16,5,0,11,1,6,5,3,0,1,3,1,4,48,,26.7,423,1330.5,35,45.3,257.7,3178,0,0,1515.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB131,3/23/22,,219,215,214,226,216,222,221,226,227,,36.8,36.5,37.8,220,216,,4,10,2,4,0,0,5,0,0,0,0,0,0,2,25,,8.1,170,837.3,15,104.4,245.1,2836,0,0,1546.9,0,,,,,,,1.875,4.875,0.375,2.4375,1.8125,0.5625,0.9375,0.25,1.5625,1,1.75,1.3125,0.25,2.125,14.6875,,,,,,,,,,,,232.9,,36.875,37.4875,220.75,219.875,,1.75,2.3125,1,0.625,4.625,0.625,0.125,0.375,0.8125,0.625,1.4375,2.125,0.0625,1.3125,12.25,,,,,,,,,,,,,,36.8,37.41666667,225.125,223.75,,1.375,3,1.25,1.25,1.4375,1.4375,0.375,0.125,0.0625,0.375,0.875,1.625,0.0625,1.3125,10.3125,,,,,,,,,,,,,,36.7625,37.5625,226.625,225.125,,2.125,1.875,0.4375,0.5625,8.375,1.5,0.1875,0.125,0.4375,0.4375,1.0625,2.5625,0.3125,0.8125,15.625,,,,,,,,,,,,,,36.9,37.5875,226.875,224.25,,1.5,1.625,0.75,0.375,6.5,1.75,0.375,0.5,0.375,0.25,2,2.875,0.125,1.75,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB 142,4/27/22,,199,201,198,201,201,203,199,200,203,,37.7,37.3,37.8,203,198,,0,5,7,2,1,0,7,0,1,0,0,1,4,0,23,,4.4,75,494.3,3,111.4,297.7,3267,0,0,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB 143,4/27/22,,200,202,203,202,199,198,202,212,208,,38.1,37,37.8,205,204,,2,9,3,14,0,0,2,0,3,0,0,1,0,1,33,,15.4,260,1466.9,22,97.5,314.4,3834,0,0,1470.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVERAGE,,,223.4444444,224.3333333,221.6666667,227.8888889,222.4444444,224.6666667,221.7777778,225.2222222,221.7777778,,36.98888889,36.65,37.75,213.6666667,212,,3.666666667,7.166666667,2.333333333,2.333333333,3.166666667,0.3333333333,4.166666667,0.8333333333,1.333333333,0.3333333333,1.833333333,2.5,0.6666666667,2.5,26,,,,,,.,,,,,,,,,,,,,2.167124494,5.693040865,0.5175491695,1.347948176,1.888640857,1.050085031,1.083562247,0.4629100499,0.9038607668,1.752549164,2.314550249,1.032939633,0.7071067812,1.246423455,6.363610274,,,,,,,,,,,,209.8,,0.07071067812,0.2121320344,5.656854249,3.535533906,,2.104417123,1.751275046,1.488047618,1.382285891,3.259601203,0.790569415,0.3535533906,0.5175491695,1.307601403,0.790569415,1.613281926,1.329607891,0.1767766953,1.361131357,3.240370349,,,,,,,,,,,,,,0.1414213562,0.4949747468,6.363961031,7.778174593,,2.371708245,3.348773763,1.752549164,1.414213562,1.347948176,2.7443123,0.7440238091,0.3535533906,0.1767766953,0.7440238091,1.457737974,1.302470181,0.1767766953,1.710002089,4.382901029,,,,,,,,,,,,,,0.2828427125,0.2828427125,5.656854249,3.535533906,,4.024478671,0.9543135154,0.6232117274,0.7288689869,12.37725448,2.390457219,0.3720119046,0.2314550249,0.6781013409,0.8210402809,1.237436867,1.116035714,0.4580626907,1.032939633,12.4864212,,,,,,,,,,,,,,0.07071067812,0.2121320344,10.60660172,9.192388155,,2.32992949,1.187734939,1.164964745,0.5175491695,10.51529498,2.764571783,0.7440238091,0.755928946,0.7440238091,0.4629100499,2.563479778,1.642080562,0.3535533906,0.8864052604,11.82914077,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,11.59861103,12.509996,13.61983847,13.24239824,12.53107249,12.42980289,11.84037349,11.14425612,11.17785509,,0.4242640687,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,2.065591118,5.269408569,2.250925735,1.632993162,4.262237284,0.5163977795,2.136976057,2.041241452,1.505545305,0.5163977795,2.136976057,1.643167673,0.8164965809,1.224744871,11.5354526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
